コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2291,2021/03,27.4,25326000000,-243000000,-,-,0.0,0.0
2292,2021/02,51,327479000000,12609000000,64,19.68,8.0,11.0
2293,2021/03,27.4,30404074000,59409000,15,0.19,0.0,0.0
2294,2021/02,78.7,37289000000,1314000000,75,298.48,0.0,11.0
2296,2021/03,62.7,842675000000,24018000000,21,24.78,0.0,3.0
2300,2021/02,64.9,4884515000,-624435000,6,-,0.0,4.0
2301,2020/10,91.3,5720004000,1188411000,30,53,0.0,0.0
2303,2021/05,89.5,1119272000,339842000,12,13.43,5.0,8.0
2304,2020/09,45.9,11962668000,-1072244000,5,221.39,0.0,0.0
2305,2021/02,67.9,36352519000,4731459000,50,34.89,0.0,3.0
2307,2021/03,55.5,9626036000,493480000,22,44.66,4.0,10.0
2309,2020/09,26.4,76098000000,2605000000,25,32.69,0.0,0.0
2311,2020/12,79.1,4380607000,441989000,30,61.03,1.0,1.0
2315,2020/10,81.8,6003323000,-679903000,-,-,0.0,6.0
2317,2021/03,65.9,60871000000,8006000000,20,39.1,5.0,10.0
2321,2021/03,48.8,310102000,29824000,-,0,0.0,0.0
2323,2021/03,63.1,592311000,43844000,-,-,0.0,10.0
2325,2020/12,78.5,18951988000,2469955000,55,28.62,3.0,3.0
2326,2021/03,67.6,6825000000,2977000000,55,34,6.0,10.0
2327,2021/03,66.1,251992000000,24549000000,52.5,30.98,6.0,10.0
2329,2021/03,78.7,52874000000,2399000000,8,87.9,0.0,1.0
2330,2020/12,28.1,4033481000,-105009000,-,-,0.0,9.0
2331,2021/03,57.6,469920000000,37182000000,72,28.54,8.0,10.0
2332,2021/03,71.9,11181261000,879229000,40,28.48,2.0,4.0
2334,2021/03,69.9,1439034000,-295204000,-,-,0.0,1.0
2335,2021/03,68.6,14788890000,1174867000,20,29.74,1.0,10.0
2337,2021/02,28.5,61368000000,9668000000,7,67.08,0.0,10.0
2338,2021/02,56.8,245497000,-378334000,-,-,0.0,0.0
2340,2021/03,5.5,8764172000,-1546426000,-,-,0.0,0.0
2341,2021/02,88.4,3100566000,-545085000,-,-,0.0,0.0
2342,2021/03,55.1,11046139000,893195000,3,9.5,,
2344,2021/03,57.5,8344151000,920136000,27,50.26,0.0,0.0
2345,2020/10,64.5,1859614000,34872000,6.61,8.98,1.0,5.0
2349,2021/03,73.4,17684827000,1870590000,22,18.32,2.0,10.0
2351,2021/03,65.7,2506557000,50440000,2,36.01,0.0,10.0
2352,2021/03,53.8,2356884000,411563000,25,41.61,10.0,10.0
2353,2021/07,29.4,23785000000,3263000000,4.75,63.75,10.0,10.0
2354,2021/02,34.6,14481536000,921965000,8,16.96,1.0,4.0
2359,2021/03,66.6,20785262000,2032084000,30,26.87,2.0,6.0
2371,2021/03,66.1,51077000000,18295000000,40,70,10.0,10.0
2372,2021/03,41.5,12906000000,1068000000,40,34.74,1.0,10.0
2373,2020/10,14,33984307000,1353543000,11.67,20.73,1.0,1.0
2374,2021/03,46.8,45909574000,2806405000,16,25.06,10.0,10.0
2375,2020/10,37,19770958000,1002304000,0.81,14.23,4.0,9.0
2376,2021/03,51.2,12984414000,278834000,12.5,30.15,0.0,10.0
2378,2021/03,23.9,30209649000,-4602262000,2,-,0.0,0.0
2379,2021/02,84.4,32494768000,7312158000,56,521.18,0.0,11.0
2384,2020/12,19.9,257192000000,10960000000,35,17.45,3.0,3.0
2385,2021/06,84.5,8942496000,916789000,5,23.27,3.0,3.0
2389,2020/12,43.7,88768000000,3240000000,35,10.37,1.0,1.0
2391,2021/07,83,3066000000,705000000,41.5,55.26,10.0,10.0
2393,2021/03,72.2,21017731000,2613015000,46,41.25,0.0,5.0
2395,2021/03,42.6,15110548000,2529534000,20,5.63,1.0,1.0
2397,2021/03,88.8,324501000,-172196000,-,-,0.0,5.0
2398,2021/03,31.7,93249000000,2893000000,5,27.01,0.0,9.0
2406,2020/12,32,7867546000,123465000,2,-,0.0,0.0
2408,2020/12,86.8,1911075000,-367658000,10,-,0.0,1.0
2410,2020/09,68.1,11021168000,-244648000,20,-,0.0,0.0
